序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,創新AI碩一,112C71218,籄驇贒,30308kzmoy,3,5,1,1,0,7,1,4,4,3
2,創新AI碩一,112C71982,往賘赺,pcjq1fb42lg,2,4,1,3,4,5,1,3,3,1
3,電資AI碩二,111C52652,嘑娝榤,4zbvlezo76,4,7,9,4,1,5,1,7,6,6
4,資工二,111590835,聆梎嗏,e16nobbge9,2,6,3,8,4,0,5,9,5,8
5,創新AI碩二,111C71594,恋櫱臃,hp4s0pmj6o,9,9,1,6,7,7,0,9,7,4
6,電資AI碩二,111C52263,閄椄狙,tb50pxp9cj,4,2,1,2,0,0,6,7,5,9
7,電資AI碩二,111C52607,磏姷恂,vqr2zpfcux,0,4,9,1,4,7,1,3,2,3
8,資工四,109590464,虩穘蟻,pmifkhrc4j,2,5,9,1,2,2,5,8,0,2
9,電資AI碩一,112C52053,蛼尬鎱,t67jkeypmqj,3,4,7,8,3,2,1,0,2,3
10,電資資安碩二,111C53236,鿻良楦,5dob9hp7m8,7,2,3,5,3,5,6,9,9,0
11,資工二,111590738,谖葳璛,2iezwxvoy6,3,5,6,9,2,1,5,0,0,0
12,資工四,109590965,戨鏜他,kwtsot4vugi,4,8,2,6,5,6,3,6,9,9
13,資工四,109590013,钅犁燶,v6v4p1cuu3,1,5,0,6,7,6,2,9,3,3
14,電資AI碩二,111C52682,棶円摚,ezfvce9xyf,1,0,9,6,3,3,2,9,8,8
15,資工三,110590546,铵扭厕,4bjz0la9se,2,2,3,3,3,8,0,0,8,1
16,資工一,112590293,斔缫谵,q5idt5bda9,2,6,6,9,7,4,0,2,7,7
17,資工碩二,111598670,坱遃誯,qdjzjqay2g,4,2,1,6,5,3,6,5,5,5
18,電資AI碩一,112C52622,溧餥燘,d5w1v9gc9c,7,6,5,9,8,5,9,7,4,2
19,資工碩二,111598316,艌悷拫,7kcqd9x8dzl,4,7,9,7,3,9,6,8,9,4
20,電資AI碩一,112C52789,抺羲橮,dxss7xnry9,3,5,3,7,2,6,8,8,1,7
21,資工二,111590048,腟蟴隨,b62w5h3l0xj,6,0,2,1,6,9,5,7,5,3
22,資工三,110590570,橭炩噄,vpc1fqda7w,6,3,3,6,8,6,7,7,7,4
23,資工一,112590311,亭驋霢,6tkezxzm7q,0,7,1,0,7,3,1,8,6,2
24,資工二,111590548,辶纭厊,rtxm09o2ya,0,1,3,8,5,9,9,1,8,9
25,電資AI碩一,112C52337,靪纪鿙,pic6c0jlue,7,5,4,2,7,4,6,6,8,1
26,資工一,112590276,摽铎恾,3d3ksynywv,6,8,6,3,4,9,9,2,4,9
27,創新AI碩一,112C71790,粪趩腤,9arzs6hnyd,5,6,1,2,6,7,4,9,0,9
28,資工碩二,111598774,峚琙陳,xbcntj5i0u,5,8,3,5,0,9,1,4,2,2
29,資工一,112590149,轪諽烢,tgwqri2nwf,9,0,2,1,5,6,6,5,0,8
30,資工碩一,112598965,寝讗轀,ybn6z58d4c,9,5,0,8,8,7,9,6,8,6
31,資工四,109590550,瘢泑欖,uvbnfghs8e,9,8,9,3,9,4,0,8,0,1
32,資工碩二,111598486,扬璴瀧,tan8ygs3h4,9,4,3,7,0,3,7,4,1,6
33,創新AI碩二,111C71921,碳碥癿,s1olbv3g4z,2,6,4,4,3,1,2,1,3,5
34,創新AI碩二,111C71921,鋬檫錳,uw4v3yfvsp,3,1,0,9,5,2,1,6,1,6
35,資工二,111590162,坳瘡礍,2lu6qypsun,9,6,9,5,0,1,0,6,8,3
36,創新AI碩一,112C71429,蹅肶聚,qga3boyn42k,5,9,0,0,0,7,4,6,8,4
37,資工四,109590200,驎倩娃,bvyh921uxz,0,7,4,9,1,8,4,5,6,7
38,創新AI碩一,112C71419,潢濯讕,zgv9p9oest,2,0,9,9,1,0,2,2,8,8
